"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"Cummins India Limited","277200000","141372000","    51.00","135828000","0","     0.00","     0.00",,"23-Oct-2025 16:30:05","1845525","276315529","0.67",,"23-Oct-2025 16:30:05"
"Cupid Limited","268467140","122295432","    45.55","146171708","44188020","    36.13","    16.46",,"23-Oct-2025 16:30:50","97472191","267986740","36.37",,"23-Oct-2025 16:30:50"
"Cyber Media (India) Limited","20829721","13867187","    66.57","6962534","0","     0.00","     0.00",,"23-Oct-2025 16:30:32","208418","15460583","1.35",,"23-Oct-2025 16:30:32"
"Cybertech Systems And Software Limited","31130593","11339879","    36.43","19790714","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","381556","30714075","1.24",,"23-Oct-2025 16:30:26"
"Cyient Limited","111087132","26568214","    23.92","84518918","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","1877613","110680996","1.7",,"23-Oct-2025 16:30:26"
"D-Link (India) Limited","35504850","18114663","    51.02","17390187","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","1659682","35494600","4.68",,"23-Oct-2025 16:30:43"
"D.B.Corp Limited","178239157","131493483","    73.77","46745674","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","972512","178238839","0.55",,"23-Oct-2025 16:30:43"
"DB (International) Stock Brokers Limited","35000000","14409627","    41.17","20590373","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","6439342","34986000","18.41",,"23-Oct-2025 16:30:47"
"DCB Bank Limited","315156733","46200234","    14.66","268956499","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","17354877","313490804","5.54",,"23-Oct-2025 16:30:36"
"DCM  Limited","18677749","9293672","    49.76","9384077","0","     0.00","     0.00",,"23-Oct-2025 16:30:21","505374","18307877","2.76",,"23-Oct-2025 16:30:21"
"DCM Shriram Limited","155942296","104967466","    67.31","50974830","0","     0.00","     0.00",,"23-Oct-2025 16:30:16","1055893","154758031","0.68",,"23-Oct-2025 16:30:16"
"DCW Limited","295155017","131705082","    44.62","163449935","5142168","     3.90","     1.74",,"23-Oct-2025 16:30:21","36327028","293761167","12.37",,"23-Oct-2025 16:30:21"
"DELPHI WORLD MONEY LIMITED","11127890","8345920","    75.00","2781970","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","172310","10985795","1.57",,"23-Oct-2025 16:30:46"
"DIC India Limited","9178977","6586077","    71.75","2592900","0","     0.00","     0.00",,"23-Oct-2025 16:30:10","89990","9117812","0.99",,"23-Oct-2025 16:30:10"
"DLF Limited","2475311706","1833636385","    74.08","641675321","0","     0.00","     0.00",,"23-Oct-2025 16:30:39","20084519","2475116324","0.81",,"23-Oct-2025 16:30:39"
"DPSC Limited","973789640","577713115","    59.33","396076525","389515856","    67.42","    40.00",,"23-Oct-2025 16:30:42","391564076","972042375","40.28",,"23-Oct-2025 16:30:42"
"DQ Entertainment (International) Limited","79282857","59462177","    75.00","19820680","59461972","   100.00","    75.00",,"23-Oct-2025 16:30:46","59890946","79154373","75.66",,"23-Oct-2025 16:30:46"
"DS Kulkarni Developers Limited","10000000","9500000","    95.00","500000","0","     0.00","     0.00",,"23-Oct-2025 16:30:19","17359","12562966","0.14",,"23-Oct-2025 16:30:19"
"Dabur India Limited","1773690172","1174534985","    66.22","599155187","0","     0.00","     0.00",,"23-Oct-2025 16:30:16","10073856","1772068256","0.57",,"23-Oct-2025 16:30:16"
"Dalmia Bharat Limited","187565161","104731548","    55.84","82833613","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","4253717","186320767","2.28",,"23-Oct-2025 16:30:52"
"Dalmia Bharat Sugar and Industries Limited","80939303","60634122","    74.91","20305181","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","1449350","80309637","1.8",,"23-Oct-2025 16:30:22"
"Damodar Industries Limited","23300000","16360957","    70.22","6939043","4940000","    30.19","    21.20",,"23-Oct-2025 16:30:50","5136060","23058765","22.27",,"23-Oct-2025 16:30:50"
"Datamatics Global Services Limited","59106389","39203076","    66.33","19903313","0","     0.00","     0.00",,"23-Oct-2025 16:30:30","1689376","59063077","2.86",,"23-Oct-2025 16:30:30"
"Dcm Financial Services Limited","22125054","8739952","    39.50","13385102","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","61465","18513829","0.33",,"23-Oct-2025 16:30:24"
"De Nora India Limited","5308634","2849500","    53.68","2459134","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","132419","5263393","2.52",,"23-Oct-2025 16:30:23"
"Debock Industries Limited","162736115","15313000","     9.41","147423115","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","3149556","162736115","1.94",,"23-Oct-2025 16:30:52"
"Deccan Cements Limited","14007500","7878908","    56.25","6128592","0","     0.00","     0.00",,"23-Oct-2025 16:30:13","668673","13908194","4.81",,"23-Oct-2025 16:30:13"
"Deepak Builders & Engineers India Limited","46580860","33770560","    72.50","12810300","0","     0.00","     0.00",,"23-Oct-2025 16:30:55","1124212","46580860","2.41",,"23-Oct-2025 16:30:55"
"Deepak Fertilizers And Petrochemicals Corporation Limited","126237825","57603574","    45.63","68634251","2800000","     4.86","     2.22",,"23-Oct-2025 16:30:09","9107595","123203537","7.39",,"23-Oct-2025 16:30:09"
"Deepak Nitrite Limited","136393041","67216288","    49.28","69176753","0","     0.00","     0.00",,"23-Oct-2025 16:30:44","3636955","136089496","2.67",,"23-Oct-2025 16:30:44"
"Delta Corp Limited","267771097","90140934","    33.66","177630163","0","     0.00","     0.00",,"23-Oct-2025 16:30:40","41693156","266713567","15.63",,"23-Oct-2025 16:30:40"
"Delta Manufacturing Limited","10851120","7825574","    72.12","3025546","0","     0.00","     0.00",,"23-Oct-2025 16:30:17","45437","10610780","0.43",,"23-Oct-2025 16:30:17"
"Den Networks Limited","477223845","357895083","    75.00","119328762","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","24096881","477041322","5.05",,"23-Oct-2025 16:30:43"
"Dev Information Technology Limited","56335232","37535025","    66.63","18800207","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","1235382","56335232","2.19",,"23-Oct-2025 16:30:51"
"Devyani International Limited","1231937291","756602190","    61.42","475335101","3500","     0.00","     0.00",,"23-Oct-2025 16:30:54","34463207","1231937286","2.8",,"23-Oct-2025 16:30:54"
"Dhampur Bio Organics Limited","66387590","34210207","    51.53","32177383","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","2913736","66387590","4.39",,"23-Oct-2025 16:30:54"
"Dhampur Sugar Mills Limited","64306509","32053237","    49.84","32253272","0","     0.00","     0.00",,"23-Oct-2025 16:30:16","3792842","64160103","5.91",,"23-Oct-2025 16:30:16"
"Dhani Services Limited","658515110","253028203","    38.42","405486907","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","76394315","649592509","11.76",,"23-Oct-2025 16:30:42"
"Dhanlaxmi Bank Limited","394698851","0","     0.00","394698851","0",,"     0.00",,"23-Oct-2025 16:30:26","15228628","392814821","3.88",,"23-Oct-2025 16:30:26"
"Dhanuka Agritech Limited","45078324","31425468","    69.71","13652856","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","197021","44924996","0.44",,"23-Oct-2025 16:30:46"
"Dharani Sugars & Chemicals Limited","33200000","20436006","    61.55","12763994","0","     0.00","     0.00",,"23-Oct-2025 16:30:13","11101348","32042373","34.65",,"23-Oct-2025 16:30:13"
"Dhunseri Investments Limited","6097178","4569999","    74.95","1527179","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","104154","5997883","1.74",,"23-Oct-2025 16:30:46"
"Dhunseri Tea & Industries Limited","10507427","7239289","    68.90","3268138","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","108304","10476911","1.03",,"23-Oct-2025 16:30:49"
"Dhunseri Ventures Limited","35024754","26268000","    75.00","8756754","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","562085","34907274","1.61",,"23-Oct-2025 16:30:41"
"DiGiSPICE Technologies Limited","234271106","170460115","    72.76","63810991","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","1139560","233378831","0.49",,"23-Oct-2025 16:30:42"
"Diamond Power Infrastructure Limited","526971060","442773950","    84.02","84197110","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","13251827","526887110","2.52",,"23-Oct-2025 16:30:54"
"Diligent Media Corporation Limited","117708018","73173769","    62.17","44534249","8830306","    12.07","     7.50",,"23-Oct-2025 16:30:52","12031333","117629550","10.23",,"23-Oct-2025 16:30:52"
"Dilip Buildcon Limited","162444833","102571368","    63.14","59873465","14526727","    14.16","     8.94",,"23-Oct-2025 16:30:50","20102936","162444733","12.38",,"23-Oct-2025 16:30:50"
"Dish TV India Limited","1841256154","74682568","     4.06","1766573586","8689621","    11.64","     0.47",,"23-Oct-2025 16:30:38","146916731","1840955516","7.98",,"23-Oct-2025 16:30:38"
"Divgi Torqtransfer Systems Limited","30582927","18518500","    60.55","12064427","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","136537","30582927","0.45",,"23-Oct-2025 16:30:54"
"Divi's Laboratories Limited","265468580","137745090","    51.89","127723490","0","     0.00","     0.00",,"23-Oct-2025 16:30:29","2853521","265396689","1.08",,"23-Oct-2025 16:30:29"
"Dixon Technologies (India) Limited","60513663","17498858","    28.92","43014805","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","774841","60513663","1.28",,"23-Oct-2025 16:30:51"
"Donear Industries Limited","52000000","38772034","    74.56","13227966","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","524797","51985474","1.01",,"23-Oct-2025 16:30:36"
"Dr. Reddy's Laboratories Limited","834613760","224404065","    26.89","610209695","0","     0.00","     0.00",,"23-Oct-2025 16:30:09","5275375","833172775","0.63",,"23-Oct-2025 16:30:09"
"Dredging Corporation of India Limited","28000000","20572013","    73.47","7427987","0","     0.00","     0.00",,"23-Oct-2025 16:30:30","636310","27998856","2.27",,"23-Oct-2025 16:30:30"
"Ducon Infratechnologies Limited","324925587","123727531","    38.08","201198056","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","10402520","324613478","3.2",,"23-Oct-2025 16:30:47"
"Dwarikesh Sugar Industries Limited","185301470","78011082","    42.10","107290388","0","     0.00","     0.00",,"23-Oct-2025 16:30:32","12325239","185137490","6.66",,"23-Oct-2025 16:30:32"
"Dynacons Systems & Solutions Limited","12725330","7755654","    60.95","4969676","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","281435","12696190","2.22",,"23-Oct-2025 16:30:47"
"Dynamatic Technologies Limited","6791443","2843245","    41.87","3948198","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","385383","6759348","5.7",,"23-Oct-2025 16:30:23"
"E2E Networks Limited","20117189","8227902","    40.90","11889287","0","     0.00","     0.00",,"23-Oct-2025 16:30:52","177106","20117189","0.88",,"23-Oct-2025 16:30:52"
"EID Parry India Limited","177861404","73788670","    41.49","104072734","2500","     0.00","     0.00",,"23-Oct-2025 16:30:21","10812644","176683576","6.12",,"23-Oct-2025 16:30:21"
"EIH Associated Hotels Limited","60936294","45700632","    75.00","15235662","0","     0.00","     0.00",,"23-Oct-2025 16:30:15","314591","60845119","0.52",,"23-Oct-2025 16:30:15"
"EIH Limited","625364182","205423072","    32.85","419941110","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","6598194","622428208","1.06",,"23-Oct-2025 16:30:18"
"EPACK Durable Limited","96228477","46107465","    47.91","50121012","3500000","     7.59","     3.64",,"23-Oct-2025 16:30:54","10637649","96228477","11.05",,"23-Oct-2025 16:30:54"
"EPL Limited","320048873","84479781","    26.40","235569092","0","     0.00","     0.00",,"23-Oct-2025 16:30:11","8734880","319107286","2.74",,"23-Oct-2025 16:30:11"
"Eastern Silk Industries Limited","5000000","4750000","    95.00","250000","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","393","250000","0.16",,"23-Oct-2025 16:30:18"
"Easun Reyrolle Limited","30794141","11093784","    36.03","19700357","0","     0.00","     0.00",,"23-Oct-2025 16:30:25","320822","30417164","1.05",,"23-Oct-2025 16:30:25"
"Easy Trip Planners Limited","3636853188","1735656502","    47.72","1901196686","190642096","    10.98","     5.24",,"23-Oct-2025 16:30:53","418648020","3636836072","11.51",,"23-Oct-2025 16:30:53"
"Edelweiss Financial Services Limited","946090303","309400647","    32.70","636689656","0","     0.00","     0.00",,"23-Oct-2025 16:30:40","84118095","945514873","8.9",,"23-Oct-2025 16:30:40"
"Educomp Solutions Limited","122467168","54838245","    44.78","67628923","51771578","    94.41","    42.27",,"23-Oct-2025 16:30:34","54290657","122463309","44.33",,"23-Oct-2025 16:30:34"
"Eicher Motors Limited","274277990","134564944","    49.06","139713046","0","     0.00","     0.00",,"23-Oct-2025 16:30:12","1333569","273045510","0.49",,"23-Oct-2025 16:30:12"
"Eimco Elecon (India) Limited","5768385","2823920","    48.96","2944465","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","170735","5722835","2.98",,"23-Oct-2025 16:30:23"
"Elecon Engineering Company Limited","224399930","133012116","    59.27","91387814","0","     0.00","     0.00",,"23-Oct-2025 16:30:05","10203611","222572160","4.58",,"23-Oct-2025 16:30:05"
"Electrosteel Castings Limited","618184591","285679231","    46.21","332505360","32675270","    11.44","     5.29",,"23-Oct-2025 16:30:16","78945865","616119092","12.81",,"23-Oct-2025 16:30:16"
"Electrotherm (India) Limited","12742814","3810728","    29.90","8932086","300000","     7.87","     2.35",,"23-Oct-2025 16:30:23","972945","11685874","8.33",,"23-Oct-2025 16:30:23"
"Elgi Equipments Limited","316909016","100061418","    31.57","216847598","664160","     0.66","     0.21",,"23-Oct-2025 16:30:18","13996817","315109621","4.44",,"23-Oct-2025 16:30:18"
"Elgi Rubber Company Limited","50050000","32549741","    65.03","17500259","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","244001","49430690","0.49",,"23-Oct-2025 16:30:46"
"Emami Limited","436500000","239393412","    54.84","197106588","23880309","     9.98","     5.47",,"23-Oct-2025 16:30:35","32819610","435886442","7.53",,"23-Oct-2025 16:30:35"
"Emami Paper Mills Limited","60499050","45358286","    74.97","15140764","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","1125023","60417047","1.86",,"23-Oct-2025 16:30:53"
"Embassy Developments Limited","1371228963","585633056","    42.71","785595907","196428640","    33.54","    14.33",,"23-Oct-2025 16:30:38","330148058","1371227802","24.08",,"23-Oct-2025 16:30:38"
"Emcure Pharmaceuticals Limited","189564847","147641458","    77.88","41923389","60000","     0.04","     0.03",,"23-Oct-2025 16:30:54","452646","189564843","0.24",,"23-Oct-2025 16:30:54"
"Emkay Global Financial Services Limited","25605674","18353984","    71.68","7251690","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","494097","25601667","1.93",,"23-Oct-2025 16:30:35"
"Emmbi Industries Limited","19240250","12109003","    62.94","7131247","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","320870","19240250","1.67",,"23-Oct-2025 16:30:43"
"Ems Limited","55530807","38705882","    69.70","16824925","5641590","    14.58","    10.16",,"23-Oct-2025 16:30:54","9187495","55530807","16.54",,"23-Oct-2025 16:30:54"
"Energy Development Company Limited","47500000","27616041","    58.14","19883959","0","     0.00","     0.00",,"23-Oct-2025 16:30:40","459088","47475309","0.97",,"23-Oct-2025 16:30:40"
"Engineers India Limited","562042373","288458584","    51.32","273583789","0","     0.00","     0.00",,"23-Oct-2025 16:30:25","32703794","561817002","5.82",,"23-Oct-2025 16:30:25"
"Entertainment Network (India) Limited","47670415","33918400","    71.15","13752015","0","     0.00","     0.00",,"23-Oct-2025 16:30:34","929228","47670173","1.95",,"23-Oct-2025 16:30:34"
"Eon Electric Limited","16902466","10437123","    61.75","6465343","4098030","    39.26","    24.25",,"23-Oct-2025 16:30:47","1752355","16328464","10.73",,"23-Oct-2025 16:30:47"
"Epigral Limited","43141338","29693625","    68.83","13447713","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","1848375","43141338","4.28",,"23-Oct-2025 16:30:54"
"Eris Lifesciences Limited","136213554","74708744","    54.85","61504810","12641470","    16.92","     9.28",,"23-Oct-2025 16:30:51","14992053","136213554","11.01",,"23-Oct-2025 16:30:51"
"Eros International Media Limited","95914119","15589951","    16.25","80324168","0","     0.00","     0.00",,"23-Oct-2025 16:30:45","4066810","95914018","4.24",,"23-Oct-2025 16:30:45"
"Esab India Limited","15393020","11347960","    73.72","4045060","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","182992","15307431","1.2",,"23-Oct-2025 16:30:20"
"Escorts Kubota Limited","111877754","77978616","    69.70","33899138","0","     0.00","     0.00",,"23-Oct-2025 16:30:07","1747923","111276122","1.57",,"23-Oct-2025 16:30:07"
"Essar Shipping Limited","206976072","152647215","    73.75","54328857","21406365","    14.02","    10.34",,"23-Oct-2025 16:30:47","22737078","204901194","11.1",,"23-Oct-2025 16:30:47"
"Ester Industries Limited","97586191","61214713","    62.73","36371478","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","2657057","96937641","2.74",,"23-Oct-2025 16:30:46"
"Eureka Forbes Limited","193491816","121041730","    62.56","72450086","64950000","    53.66","    33.57",,"23-Oct-2025 16:30:55","66765082","190380021","35.07",,"23-Oct-2025 16:30:55"
"Euro Ceramics Limited","33737717","3404095","    10.09","30333622","3403895","    99.99","    10.09",,"23-Oct-2025 16:30:38","4900674","31260115","15.68",,"23-Oct-2025 16:30:38"
"Euro Multivision Limited","23800049","11187563","    47.01","12612486","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","20373","23798559","0.09",,"23-Oct-2025 16:30:42"
"Eurotex Industries and Exports Limited","8749865","6211627","    70.99","2538238","0","     0.00","     0.00",,"23-Oct-2025 16:30:04","395385","8577347","4.61",,"23-Oct-2025 16:30:04"
"Eveready Industries India Limited","72687260","31404090","    43.20","41283170","4573","     0.01","     0.01",,"23-Oct-2025 16:30:32","8555997","72367615","11.82",,"23-Oct-2025 16:30:32"
"Everest Industries Limited","15855754","7963544","    50.22","7892210","0","     0.00","     0.00",,"23-Oct-2025 16:30:19","348363","15762771","2.21",,"23-Oct-2025 16:30:19"
"Everest Kanto Cylinder Limited","112207682","75613143","    67.39","36594539","0","     0.00","     0.00",,"23-Oct-2025 16:30:34","4402135","112207682","3.92",,"23-Oct-2025 16:30:34"
"Excel Industries Limited","12570692","6662065","    53.00","5908627","0","     0.00","     0.00",,"23-Oct-2025 16:30:31","246723","12486902","1.98",,"23-Oct-2025 16:30:31"
"Excel Realty N Infra Limited","1410695055","269711547","    19.12","1140983508","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","13795352","1407237255","0.98",,"23-Oct-2025 16:30:42"
"Exicom Tele-Systems Limited","139079771","92449616","    66.47","46630155","2566585","     2.78","     1.85",,"23-Oct-2025 16:30:54","5033993","139079771","3.62",,"23-Oct-2025 16:30:54"
"Exide Industries Limited","850000000","390954666","    45.99","459045334","0","     0.00","     0.00",,"23-Oct-2025 16:30:04","15663255","845617149","1.85",,"23-Oct-2025 16:30:04"
"Expleo Solutions Limited","15519739","11026058","    71.05","4493681","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","213864","15519739","1.38",,"23-Oct-2025 16:30:42"
"FCS Software Solutions Limited","1709553100","335962450","    19.65","1373590650","0","     0.00","     0.00",,"23-Oct-2025 16:30:33","24856659","1709066606","1.45",,"23-Oct-2025 16:30:33"
"FDC Limited","162810084","113410433","    69.66","49399651","0","     0.00","     0.00",,"23-Oct-2025 16:30:25","2232607","161778611","1.38",,"23-Oct-2025 16:30:25"
"Fedders Electric and Engineering Limited","30000000","30000000","   100.00","0","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","196603","33483328","0.59",,"23-Oct-2025 16:30:22"
"Federal-Mogul Goetze (India) Limited.","55632130","41715454","    74.98","13916676","0","     0.00","     0.00",,"23-Oct-2025 16:30:19","3285311","55298445","5.94",,"23-Oct-2025 16:30:19"
"Fertilizers and Chemicals Travancore Limited","647071974","582364776","    90.00","64707198","0","     0.00","     0.00",,"23-Oct-2025 16:30:04","1203688","644129837","0.19",,"23-Oct-2025 16:30:04"
"Fiem Industries Limited","26319660","14348314","    54.52","11971346","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","914556","26319639","3.47",,"23-Oct-2025 16:30:36"
"Filatex India Limited","443855500","290334472","    65.41","153521028","0","     0.00","     0.00",,"23-Oct-2025 16:30:46","40100046","443233924","9.05",,"23-Oct-2025 16:30:46"
"Finolex Cables Limited","152939345","54841170","    35.86","98098175","0","     0.00","     0.00",,"23-Oct-2025 16:30:21","3365414","152050209","2.21",,"23-Oct-2025 16:30:21"
"Finolex Industries Limited","620476905","327731485","    52.82","292745420","0","     0.00","     0.00",,"23-Oct-2025 16:30:21","17380504","609643855","2.85",,"23-Oct-2025 16:30:21"
"Firstsource Solutions Limited","696990826","380123837","    54.54","316866989","0","     0.00","     0.00",,"23-Oct-2025 16:30:37","10852740","696989801","1.56",,"23-Oct-2025 16:30:37"
"Five-Star Business Finance Limited","294468820","54684680","    18.57","239784140","200","     0.00","     0.00",,"23-Oct-2025 16:30:54","6060836","294092330","2.06",,"23-Oct-2025 16:30:54"
"Flexituff Ventures International Limited","32822806","10581603","    32.24","22241203","8147565","    77.00","    24.82",,"23-Oct-2025 16:30:46","10541561","32822805","32.12",,"23-Oct-2025 16:30:46"
"Foods & Inns Limited","73414624","18632212","    25.38","54782412","3940000","    21.15","     5.37",,"23-Oct-2025 16:30:54","13790440","72773414","18.95",,"23-Oct-2025 16:30:54"
"Fortis Healthcare Limited","754958148","235294117","    31.17","519664031","0","     0.00","     0.00",,"23-Oct-2025 16:30:39","10753492","754869643","1.42",,"23-Oct-2025 16:30:39"
"Foseco India Limited","6386459","4788845","    74.98","1597614","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","34510","6359602","0.54",,"23-Oct-2025 16:30:20"
"Fusion Finance Limited","162082277","89433709","    55.18","72648568","4000000","     4.47","     2.47",,"23-Oct-2025 16:30:54","10371963","101023885","10.27",,"23-Oct-2025 16:30:54"
"Future Consumer Limited","1997034643","69686451","     3.49","1927348192","6341902","     9.10","     0.32",,"23-Oct-2025 16:30:48","42701086","1996882553","2.14",,"23-Oct-2025 16:30:48"
"Future Enterprises Limited","454930401","74467852","    16.37","380462549","45750000","    61.44","    10.06",,"23-Oct-2025 16:30:29","51510755","454557958","11.33",,"23-Oct-2025 16:30:29"
"Future Enterprises Limited","39374679","28436580","    72.22","10938099","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","490463","39333044","1.25",,"23-Oct-2025 16:30:42"
"Future Lifestyle Fashions Limited","201774874","41331939","    20.48","160442935","40968074","    99.12","    20.30",,"23-Oct-2025 16:30:48","38513450","201650478","19.1",,"23-Oct-2025 16:30:48"
"Future Market Networks Limited","60644381","40583410","    66.92","20060971","36750000","    90.55","    60.60",,"23-Oct-2025 16:30:45","37506982","60604866","61.89",,"23-Oct-2025 16:30:45"
"Future Retail Limited","542284079","77590160","    14.31","464693919","24162063","    31.14","     4.46",,"23-Oct-2025 16:30:50","11227111","541366845","2.07",,"23-Oct-2025 16:30:50"
"Future Supply Chain Solutions Limited","43883598","9633085","    21.95","34250513","9632685","   100.00","    21.95",,"23-Oct-2025 16:30:52","316049","43883592","0.72",,"23-Oct-2025 16:30:52"
"GACM Technologies Limited","1102742236","10000000","     0.91","1092742236","0","     0.00","     0.00",,"23-Oct-2025 16:30:50","16635314","1102192876","1.51",,"23-Oct-2025 16:30:50"
"GACM Technologies Limited","189665894","953","     0.00","189664941","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","7654338","189386051","4.04",,"23-Oct-2025 16:30:51"
"GAIL (India) Limited","6575099643","3433476340","    52.22","3141623303","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","60002399","6574858850","0.91",,"23-Oct-2025 16:30:24"
"GANESH HOUSING LIMITED","83387090","60922084","    73.06","22465006","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","5384238","83124848","6.48",,"23-Oct-2025 16:30:24"
"GB Global Limited","50033143","50000000","    99.93","33143","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","0","0","0",,"23-Oct-2025 16:30:53"
"GE Power India Limited","67227471","46102083","    68.58","21125388","0","     0.00","     0.00",,"23-Oct-2025 16:30:27","2557784","66783791","3.83",,"23-Oct-2025 16:30:27"
"GE Vernova T&D India Limited","256046535","130583733","    51.00","125462802","0","     0.00","     0.00",,"23-Oct-2025 16:30:12","895432","254983055","0.35",,"23-Oct-2025 16:30:12"
"GFL Limited","109850000","75492611","    68.72","34357389","0","     0.00","     0.00",,"23-Oct-2025 16:30:06","1505759","109402000","1.38",,"23-Oct-2025 16:30:06"
"GHCL Limited","96072086","18229669","    18.97","77842417","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","7168309","94537504","7.58",,"23-Oct-2025 16:30:18"
"GIC Housing Finance Limited","53851066","22836839","    42.41","31014227","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","3723846","53669721","6.94",,"23-Oct-2025 16:30:18"
"GKW Limited","5966500","4474875","    75.00","1491625","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","43262","5864319","0.74",,"23-Oct-2025 16:30:42"
"GM Breweries Limited","22846923","17005152","    74.43","5841771","0","     0.00","     0.00",,"23-Oct-2025 16:30:17","354632","22522124","1.57",,"23-Oct-2025 16:30:17"
"GMR AIRPORTS LIMITED","10558975952","6994279806","    66.24","3564696146","1161834975","    16.61","    11.00",,"23-Oct-2025 16:30:35","1289502366","10558765480","12.21",,"23-Oct-2025 16:30:35"
"GNA Axles Limited","42930800","29601515","    68.95","13329285","950000","     3.21","     2.21",,"23-Oct-2025 16:30:50","1594881","42930800","3.72",,"23-Oct-2025 16:30:50"
"GOCL Corporation Limited","49572490","33622171","    67.82","15950319","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","1370197","49357701","2.78",,"23-Oct-2025 16:30:48"
"GP Petroleums Limited","50984383","21019558","    41.23","29964825","0","     0.00","     0.00",,"23-Oct-2025 16:30:31","1365201","50982436","2.68",,"23-Oct-2025 16:30:31"
"GPT Infraprojects Limited","126364600","87469242","    69.22","38895358","44500682","    50.88","    35.22",,"23-Oct-2025 16:30:50","45909064","126364588","36.33",,"23-Oct-2025 16:30:50"
"GRP Limited","5333332","2136420","    40.06","3196912","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","23866","5320363","0.45",,"23-Oct-2025 16:30:49"
"GSS Infotech Limited","26156843","3675657","    14.05","22481186","0","     0.00","     0.00",,"23-Oct-2025 16:30:41","3929909","25806843","15.23",,"23-Oct-2025 16:30:41"
"GTL Infrastructure Limited","12809111895","420144016","     3.28","12388967879","420144016","   100.00","     3.28",,"23-Oct-2025 16:30:36","213657154","12716025013","1.68",,"23-Oct-2025 16:30:36"
